geoname,cvap_est
"Granville, North Carolina",46790
"Greene, North Carolina",15315
"Guilford, North Carolina",394455
"Halifax, North Carolina",37655
"Harnett, North Carolina",95705
"Haywood, North Carolina",50185
"Henderson, North Carolina",90625
"Hertford, North Carolina",17180
"Hoke, North Carolina",36670
"Hyde, North Carolina",3575
"Iredell, North Carolina",138560
"Jackson, North Carolina",34170
"Johnston, North Carolina",153810
"Jones, North Carolina",7430
"Lee, North Carolina",44025
"Lenoir, North Carolina",41540
"Lincoln, North Carolina",67680
"McDowell, North Carolina",34760
"Macon, North Carolina",29395
"Madison, North Carolina",17505
"Martin, North Carolina",17375
"Mecklenburg, North Carolina",766290
"Mitchell, North Carolina",11955
"Montgomery, North Carolina",19000
"Moore, North Carolina",76835
"Nash, North Carolina",71710
"New Hanover, North Carolina",181215
"Northampton, North Carolina",14305
"Onslow, North Carolina",151360
"Orange, North Carolina",109365
"Pamlico, North Carolina",10305
"Pasquotank, North Carolina",31225
"Pender, North Carolina",46835
"Perquimans, North Carolina",10515
"Person, North Carolina",30625
"Pitt, North Carolina",130030
"Polk, North Carolina",16125
"Randolph, North Carolina",106005
"Richmond, North Carolina",32430
"Robeson, North Carolina",84770
"Rockingham, North Carolina",70600
"Rowan, North Carolina",109275
"Rutherford, North Carolina",50785
"Sampson, North Carolina",40750
"Scotland, North Carolina",26010
"Stanly, North Carolina",48115
"Stokes, North Carolina",36190
"Surry, North Carolina",53825
"Swain, North Carolina",10790
"Transylvania, North Carolina",27520
"Tyrrell, North Carolina",2670
"Union, North Carolina",165665
"Vance, North Carolina",31075
"Wake, North Carolina",794395
"Warren, North Carolina",15105
"Washington, North Carolina",8720
"Watauga, North Carolina",46910
"Wayne, North Carolina",84550
"Wilkes, North Carolina",51520
"Wilson, North Carolina",58245
"Yadkin, North Carolina",28205
"Yancey, North Carolina",14785
"Adams, North Dakota",1645
"Barnes, North Dakota",8420
"Benson, North Dakota",3835
"Billings, North Dakota",655
"Bottineau, North Dakota",4880
"Bowman, North Dakota",2220
"Burke, North Dakota",1625
"Burleigh, North Dakota",73950
"Cass, North Dakota",137175
"Cavalier, North Dakota",2815
"Dickey, North Dakota",3635
"Divide, North Dakota",1635
"Dunn, North Dakota",2960
"Eddy, North Dakota",1835
"Emmons, North Dakota",2655
"Foster, North Dakota",2645
"Golden Valley, North Dakota",1370
"Grand Forks, North Dakota",55095
"Grant, North Dakota",1750
"Griggs, North Dakota",1815
"Hettinger, North Dakota",2005
"Kidder, North Dakota",1830
"LaMoure, North Dakota",3230
"Logan, North Dakota",1440
"McHenry, North Dakota",4015
"McIntosh, North Dakota",2020
"McKenzie, North Dakota",9370
"McLean, North Dakota",7520
"Mercer, North Dakota",6400
"Morton, North Dakota",25335
"Mountrail, North Dakota",6800
"Nelson, North Dakota",2320
"Oliver, North Dakota",1360
"Pembina, North Dakota",5305
"Pierce, North Dakota",3085
"Ramsey, North Dakota",8755
"Ransom, North Dakota",4330
"Renville, North Dakota",1710
"Richland, North Dakota",12860
"Rolette, North Dakota",8175
"Sargent, North Dakota",3000
"Sheridan, North Dakota",1135
"Sioux, North Dakota",2500
"Slope, North Dakota",670
"Stark, North Dakota",23410
"Steele, North Dakota",1385
"Stutsman, North Dakota",17025
"Towner, North Dakota",1600
"Traill, North Dakota",6140
"Walsh, North Dakota",7935
"Ward, North Dakota",51235
"Wells, North Dakota",3090
"Williams, North Dakota",26215
"Adams, Ohio",20840
"Allen, Ohio",77500
"Ashland, Ohio",40395
"Ashtabula, Ohio",75865
"Athens, Ohio",50545
"Auglaize, Ohio",35115
"Belmont, Ohio",54030
"Brown, Ohio",33670
"Butler, Ohio",283885
"Carroll, Ohio",21235
"Champaign, Ohio",30075
"Clark, Ohio",103860
"Clermont, Ohio",160070
"Clinton, Ohio",32000
"Columbiana, Ohio",80925
"Coshocton, Ohio",27850
"Crawford, Ohio",32390
"Cuyahoga, Ohio",967600
"Darke, Ohio",39275
"Defiance, Ohio",29260
"Delaware, Ohio",153225
"Erie, Ohio",59760
"Fairfield, Ohio",119150
"Fayette, Ohio",21815
"Franklin, Ohio",943690
"Fulton, Ohio",32435
"Gallia, Ohio",22375
"Geauga, Ohio",73455
"Greene, Ohio",130280
"Guernsey, Ohio",29845
"Hamilton, Ohio",616520
"Hancock, Ohio",57355
"Hardin, Ohio",23180
"Harrison, Ohio",11460
"Henry, Ohio",21030
"Highland, Ohio",32820
"Hocking, Ohio",22000
"Holmes, Ohio",30835
"Huron, Ohio",44145
"Jackson, Ohio",24735
"Jefferson, Ohio",52520
"Knox, Ohio",47895
"Lake, Ohio",182030
"Lawrence, Ohio",45230
"Licking, Ohio",136115
"Logan, Ohio",35265
"Lorain, Ohio",241900
"Lucas, Ohio",326185
"Madison, Ohio",34675
"Mahoning, Ohio",179900
"Marion, Ohio",51250
"Medina, Ohio",141155
"Meigs, Ohio",17320
"Mercer, Ohio",31010
"Miami, Ohio",82770
"Monroe, Ohio",10595
"Montgomery, Ohio",406495
"Morgan, Ohio",10945
"Morrow, Ohio",27180
"Muskingum, Ohio",66530
"Noble, Ohio",11505
"Ottawa, Ohio",33025
"Paulding, Ohio",14235
"Perry, Ohio",27000
"Pickaway, Ohio",46125
"Pike, Ohio",20645
"Portage, Ohio",129225
"Preble, Ohio",31775
"Putnam, Ohio",25490
"Richland, Ohio",97205
"Ross, Ohio",60425
"Sandusky, Ohio",45680
"Scioto, Ohio",57420
"Seneca, Ohio",42820
"Shelby, Ohio",36060
"Stark, Ohio",290745
"Summit, Ohio",416405
"Trumbull, Ohio",159915
"Tuscarawas, Ohio",70715
"Union, Ohio",46895
"Van Wert, Ohio",21995
"Vinton, Ohio",10010
"Warren, Ohio",176360
"Washington, Ohio",47440
"Wayne, Ohio",87300
"Williams, Ohio",28420
"Wood, Ohio",103075
"Wyandot, Ohio",16820
"Adair, Oklahoma",14265
"Alfalfa, Oklahoma",4490
"Atoka, Oklahoma",10925
"Beaver, Oklahoma",3370
"Beckham, Oklahoma",16320
"Blaine, Oklahoma",6085
"Bryan, Oklahoma",34955
"Caddo, Oklahoma",19600
"Canadian, Oklahoma",113205
"Carter, Oklahoma",35220
"Cherokee, Oklahoma",36295
"Choctaw, Oklahoma",10650
"Cimarron, Oklahoma",1665
"Cleveland, Oklahoma",225055
"Coal, Oklahoma",3980
"Comanche, Oklahoma",90225
"Cotton, Oklahoma",4235
"Craig, Oklahoma",10785
"Creek, Oklahoma",54515
"Custer, Oklahoma",20500
"Delaware, Oklahoma",32340
"Dewey, Oklahoma",3175
"Ellis, Oklahoma",2850
"Garfield, Oklahoma",43625
"Garvin, Oklahoma",18765
"Grady, Oklahoma",41765
"Grant, Oklahoma",3160
"Greer, Oklahoma",4340
"Harmon, Oklahoma",1855
"Harper, Oklahoma",2150
"Haskell, Oklahoma",8780
"Hughes, Oklahoma",10350
"Jackson, Oklahoma",17900
"Jefferson, Oklahoma",3965
"Johnston, Oklahoma",7880
"Kay, Oklahoma",32330
"Kingfisher, Oklahoma",10285
"Kiowa, Oklahoma",6345
"Latimer, Oklahoma",7375
"Le Flore, Oklahoma",35660
"Lincoln, Oklahoma",25625
"Logan, Oklahoma",37725
"Love, Oklahoma",7410
"McClain, Oklahoma",30990
"McCurtain, Oklahoma",22450
"McIntosh, Oklahoma",15325
"Major, Oklahoma",5560
"Marshall, Oklahoma",11250
"Mayes, Oklahoma",29925
"Murray, Oklahoma",10555
"Muskogee, Oklahoma",49415
"Noble, Oklahoma",8305
"Nowata, Oklahoma",7220
"Okfuskee, Oklahoma",8715
"Oklahoma, Oklahoma",546220
"Okmulgee, Oklahoma",28015
"Osage, Oklahoma",36020
"Ottawa, Oklahoma",22350
"Pawnee, Oklahoma",11945
"Payne, Oklahoma",63345
"Pittsburg, Oklahoma",33375
"Pontotoc, Oklahoma",28500
"Pottawatomie, Oklahoma",55180
"Pushmataha, Oklahoma",8460
"Roger Mills, Oklahoma",2505
"Rogers, Oklahoma",72655
"Seminole, Oklahoma",17580
"Sequoyah, Oklahoma",29840
"Stephens, Oklahoma",32675
"Texas, Oklahoma",11125
"Tillman, Oklahoma",5135
"Tulsa, Oklahoma",468215
"Wagoner, Oklahoma",60950
"Washington, Oklahoma",38835
"Washita, Oklahoma",8170
"Woods, Oklahoma",6760
"Woodward, Oklahoma",14670
"Baker, Oregon",13210
"Benton, Oregon",75225
"Clackamas, Oregon",318650
"Clatsop, Oregon",32745
"Columbia, Oregon",41445
"Coos, Oregon",52210
"Crook, Oregon",19940
"Curry, Oregon",19610
"Deschutes, Oregon",155785
"Douglas, Oregon",89150
"Gilliam, Oregon",1565
"Grant, Oregon",5930
"Harney, Oregon",5880
"Hood River, Oregon",15800
"Jackson, Oregon",170875
"Jefferson, Oregon",18055
"Josephine, Oregon",69715
"Klamath, Oregon",52775
"Lake, Oregon",6395
"Lane, Oregon",304160
"Lincoln, Oregon",40835
"Linn, Oregon",96890
"Malheur, Oregon",21335
"Marion, Oregon",236000
"Morrow, Oregon",7185
"Multnomah, Oregon",618250
"Polk, Oregon",65540
"Sherman, Oregon",1525
"Tillamook, Oregon",21560
"Umatilla, Oregon",55515
"Union, Oregon",20135
"Wallowa, Oregon",5930
"Wasco, Oregon",19085
"Washington, Oregon",417565
"Wheeler, Oregon",1145
"Yamhill, Oregon",79770
"Adams, Pennsylvania",82225
"Allegheny, Pennsylvania",978985
"Armstrong, Pennsylvania",52915
"Beaver, Pennsylvania",134190
"Bedford, Pennsylvania",38225
"Berks, Pennsylvania",320065
"Blair, Pennsylvania",97150
"Bradford, Pennsylvania",46470
"Bucks, Pennsylvania",497545
"Butler, Pennsylvania",154920
"Cambria, Pennsylvania",107410
"Cameron, Pennsylvania",3745
"Carbon, Pennsylvania",51995
"Centre, Pennsylvania",126880
"Chester, Pennsylvania",393105
"Clarion, Pennsylvania",30325
"Clearfield, Pennsylvania",64000
"Clinton, Pennsylvania",29985
"Columbia, Pennsylvania",53160
"Crawford, Pennsylvania",66395
"Cumberland, Pennsylvania",201755
"Dauphin, Pennsylvania",211995
"Delaware, Pennsylvania",427790
"Elk, Pennsylvania",24875
"Erie, Pennsylvania",209780
"Fayette, Pennsylvania",102725
"Forest, Pennsylvania",6050
"Franklin, Pennsylvania",119210
"Fulton, Pennsylvania",11610
"Greene, Pennsylvania",28830
"Huntingdon, Pennsylvania",36025
"Indiana, Pennsylvania",67635
"Jefferson, Pennsylvania",34815
"Juniata, Pennsylvania",17915
"Lackawanna, Pennsylvania",166535
"Lancaster, Pennsylvania",414665
"Lawrence, Pennsylvania",68405
"Lebanon, Pennsylvania",108990
"Lehigh, Pennsylvania",270400
"Luzerne, Pennsylvania",247335
"Lycoming, Pennsylvania",89385
"McKean, Pennsylvania",32115
"Mercer, Pennsylvania",89330
"Mifflin, Pennsylvania",35645
"Monroe, Pennsylvania",130910
"Montgomery, Pennsylvania",640425
"Montour, Pennsylvania",14015
"Northampton, Pennsylvania",243520
"Northumberland, Pennsylvania",73115
"Perry, Pennsylvania",35995
"Philadelphia, Pennsylvania",1149550
"Pike, Pennsylvania",47665
"Potter, Pennsylvania",12975
"Schuylkill, Pennsylvania",113685
"Snyder, Pennsylvania",31455
"Somerset, Pennsylvania",60170
"Sullivan, Pennsylvania",5155
"Susquehanna, Pennsylvania",31115
"Tioga, Pennsylvania",32975
"Union, Pennsylvania",34365
"Venango, Pennsylvania",40775
"Warren, Pennsylvania",30880
"Washington, Pennsylvania",167035
"Wayne, Pennsylvania",42235
"Westmoreland, Pennsylvania",287850
"Wyoming, Pennsylvania",20970
"York, Pennsylvania",349335
"Bristol, Rhode Island",40355
"Kent, Rhode Island",134875
"Newport, Rhode Island",69250
"Providence, Rhode Island",472700
"Washington, Rhode Island",107330
"Abbeville, South Carolina",19360
"Aiken, South Carolina",131020
"Allendale, South Carolina",6475
"Anderson, South Carolina",154685
"Bamberg, South Carolina",10540
"Barnwell, South Carolina",15575
"Beaufort, South Carolina",148060
"Berkeley, South Carolina",171730
"Calhoun, South Carolina",11395
"Charleston, South Carolina",319010
"Cherokee, South Carolina",42525
"Chester, South Carolina",24855
"Chesterfield, South Carolina",33250
"Clarendon, South Carolina",24880
"Colleton, South Carolina",29330
"Darlington, South Carolina",48620
"Dillon, South Carolina",20845
"Dorchester, South Carolina",118825
"Edgefield, South Carolina",20585
"Fairfield, South Carolina",16995
"Florence, South Carolina",102920
"Georgetown, South Carolina",51735
"Greenville, South Carolina",384530
"Greenwood, South Carolina",52535
"Hampton, South Carolina",14530
"Horry, South Carolina",283865
"Jasper, South Carolina",21955
"Kershaw, South Carolina",49555
"Lancaster, South Carolina",74020
"Laurens, South Carolina",51315
"Lee, South Carolina",13160
"Lexington, South Carolina",220480
"McCormick, South Carolina",8550
"Marion, South Carolina",22300
"Marlboro, South Carolina",21080
"Newberry, South Carolina",28495
"Oconee, South Carolina",62065
"Orangeburg, South Carolina",65480
"Pickens, South Carolina",103955
"Richland, South Carolina",315795
"Saluda, South Carolina",13920
"Spartanburg, South Carolina",242910
"Sumter, South Carolina",79020
"Union, South Carolina",21270
"Williamsburg, South Carolina",23990
"York, South Carolina",207580
"Aurora, South Dakota",1850
"Beadle, South Dakota",12820
"Bennett, South Dakota",2105
"Bon Homme, South Dakota",5705
"Brookings, South Dakota",26385
"Brown, South Dakota",27930
"Brule, South Dakota",3950
"Buffalo, South Dakota",1150
"Butte, South Dakota",7940
"Campbell, South Dakota",1175
"Charles Mix, South Dakota",6415
"Clark, South Dakota",2675
"Clay, South Dakota",11935
"Codington, South Dakota",21300
"Corson, South Dakota",2480
"Custer, South Dakota",7325
"Davison, South Dakota",15065
"Day, South Dakota",4225
"Deuel, South Dakota",3220
"Dewey, South Dakota",3260
"Douglas, South Dakota",2055
"Edmunds, South Dakota",3070
"Fall River, South Dakota",5810
"Faulk, South Dakota",1595
"Grant, South Dakota",5675
"Gregory, South Dakota",3030
"Haakon, South Dakota",1360
"Hamlin, South Dakota",3980
"Hand, South Dakota",2335
"Hanson, South Dakota",2380
"Harding, South Dakota",925
"Hughes, South Dakota",13370
"Hutchinson, South Dakota",5440
"Hyde, South Dakota",1035
"Jackson, South Dakota",1895
"Jerauld, South Dakota",1420
"Jones, South Dakota",705
"Kingsbury, South Dakota",3880
"Lake, South Dakota",8840
"Lawrence, South Dakota",21305
"Lincoln, South Dakota",46455
"Lyman, South Dakota",2625
"McCook, South Dakota",4090
"McPherson, South Dakota",1780
"Marshall, South Dakota",3245
"Meade, South Dakota",23175
"Mellette, South Dakota",1410
"Miner, South Dakota",1815
"Minnehaha, South Dakota",141015
"Moody, South Dakota",4580
"Oglala Lakota, South Dakota",8650
"Pennington, South Dakota",84830
"Perkins, South Dakota",2315
"Potter, South Dakota",1995
"Roberts, South Dakota",7270
"Sanborn, South Dakota",1705
"Spink, South Dakota",4860
"Stanley, South Dakota",2320
"Sully, South Dakota",1020
"Todd, South Dakota",5465
"Tripp, South Dakota",4285
"Turner, South Dakota",6440
"Union, South Dakota",12410
"Walworth, South Dakota",4090
"Yankton, South Dakota",17900
"Ziebach, South Dakota",1760
"Anderson, Tennessee",59755
"Bedford, Tennessee",35835
"Benton, Tennessee",12810
"Bledsoe, Tennessee",12200
"Blount, Tennessee",106995
"Bradley, Tennessee",82510
"Campbell, Tennessee",31130
"Cannon, Tennessee",11225
"Carroll, Tennessee",22045
"Carter, Tennessee",45445
"Cheatham, Tennessee",31595
"Chester, Tennessee",13580
"Claiborne, Tennessee",25775
"Clay, Tennessee",5970
"Cocke, Tennessee",28645
"Coffee, Tennessee",43140
"Crockett, Tennessee",10170
"Cumberland, Tennessee",50430
"Davidson, Tennessee",516180
"Decatur, Tennessee",9145
"DeKalb, Tennessee",15070
"Dickson, Tennessee",41730
"Dyer, Tennessee",27835
"Fayette, Tennessee",33965
"Fentress, Tennessee",14745
"Franklin, Tennessee",33820
"Gibson, Tennessee",37640
"Giles, Tennessee",23955
"Grainger, Tennessee",18585
"Greene, Tennessee",56470
"Grundy, Tennessee",10630
"Hamblen, Tennessee",46725
"Hamilton, Tennessee",280110
"Hancock, Tennessee",5285
"Hardeman, Tennessee",20515
"Hardin, Tennessee",21280
"Hawkins, Tennessee",45805
"Haywood, Tennessee",13715
"Henderson, Tennessee",21225
"Henry, Tennessee",25655
"Hickman, Tennessee",19720
"Houston, Tennessee",6435
"Humphreys, Tennessee",14635
"Jackson, Tennessee",9620
"Jefferson, Tennessee",43875
"Johnson, Tennessee",14840
"Knox, Tennessee",368780
"Lake, Tennessee",5840
"Lauderdale, Tennessee",19410
"Lawrence, Tennessee",33130
"Lewis, Tennessee",9770
"Lincoln, Tennessee",26900
"Loudon, Tennessee",43040
"McMinn, Tennessee",41300
"McNairy, Tennessee",20210
"Macon, Tennessee",18675
"Madison, Tennessee",74895
"Marion, Tennessee",22740
"Marshall, Tennessee",25860
"Maury, Tennessee",76625
"Meigs, Tennessee",10215
"Monroe, Tennessee",36270
"Montgomery, Tennessee",157195
"Moore, Tennessee",5275
"Morgan, Tennessee",16980
"Obion, Tennessee",23505
"Overton, Tennessee",17770
"Perry, Tennessee",6530
"Pickett, Tennessee",4115
"Polk, Tennessee",14135
"Putnam, Tennessee",61820
"Rhea, Tennessee",25145
"Roane, Tennessee",43525
"Robertson, Tennessee",54170
"Rutherford, Tennessee",246005
"Scott, Tennessee",16660
"Sequatchie, Tennessee",12570
"Sevier, Tennessee",74690
"Shelby, Tennessee",662010
"Smith, Tennessee",15335
"Stewart, Tennessee",10560
"Sullivan, Tennessee",127200
"Sumner, Tennessee",147305
"Tipton, Tennessee",46025
"Trousdale, Tennessee",9565
"Unicoi, Tennessee",14430
"Union, Tennessee",15570
"Van Buren, Tennessee",4975
"Warren, Tennessee",30015
"Washington, Tennessee",105640
"Wayne, Tennessee",13250
"Weakley, Tennessee",26555
"White, Tennessee",21260
"Williamson, Tennessee",174610
"Wilson, Tennessee",110170
"Anderson, Texas",44930
"Andrews, Texas",10805
"Angelina, Texas",59715
"Aransas, Texas",19765
"Archer, Texas",6445
"Armstrong, Texas",1465
"Atascosa, Texas",33605
"Austin, Texas",21795
"Bailey, Texas",3645
"Bandera, Texas",17070
"Bastrop, Texas",65610
"Baylor, Texas",2615
"Bee, Texas",24020
"Bell, Texas",256145
"Bexar, Texas",1374530
"Blanco, Texas",9115
"Borden, Texas",450
"Bosque, Texas",13740
"Bowie, Texas",68680
"Brazoria, Texas",255330
"Brazos, Texas",169895
"Brewster, Texas",7210
"Briscoe, Texas",940
"Brooks, Texas",5100
"Brown, Texas",29415
"Burleson, Texas",13060
"Burnet, Texas",37330
"Caldwell, Texas",31675
"Calhoun, Texas",14460
"Callahan, Texas",10780
"Cameron, Texas",242070
"Camp, Texas",8565
"Carson, Texas",4415
"Cass, Texas",21585
"Castro, Texas",4475
"Chambers, Texas",32005
"Cherokee, Texas",34370
"Childress, Texas",5040
"Clay, Texas",8060
"Cochran, Texas",1570
"Coke, Texas",2585
"Coleman, Texas",5760
"Collin, Texas",699715
"Collingsworth, Texas",1960
"Colorado, Texas",14830
"Comal, Texas",124355
"Comanche, Texas",9635
"Concho, Texas",2325
"Cooke, Texas",30085
"Coryell, Texas",61875
"Cottle, Texas",1225
"Crane, Texas",2675
"Crockett, Texas",2265
"Crosby, Texas",3670
"Culberson, Texas",1780
"Dallam, Texas",3850
"Dallas, Texas",1547545
"Dawson, Texas",8795
"Deaf Smith, Texas",10680
"Delta, Texas",4050
"Denton, Texas",627975
"DeWitt, Texas",14935
"Dickens, Texas",1210
"Dimmit, Texas",6030
"Donley, Texas",2585
"Duval, Texas",7345
"Eastland, Texas",13620
"Ector, Texas",98730
"Edwards, Texas",1030
"Ellis, Texas",135255
"El Paso, Texas",544340
"Erath, Texas",31810
"Falls, Texas",12800
"Fannin, Texas",27330
"Fayette, Texas",18595
"Fisher, Texas",2795
"Floyd, Texas",3600
"Foard, Texas",850
"Fort Bend, Texas",518025
"Franklin, Texas",7595
"Freestone, Texas",14570
"Frio, Texas",12010
"Gaines, Texas",11065
"Galveston, Texas",249805
"Garza, Texas",3775
"Gillespie, Texas",20285
"Glasscock, Texas",705
"Goliad, Texas",5360
"Gonzales, Texas",13055
"Gray, Texas",14475
"Grayson, Texas",98875
"Gregg, Texas",85800
"Grimes, Texas",21800
"Guadalupe, Texas",125390
"Hale, Texas",21555
"Hall, Texas",2030
"Hamilton, Texas",6210
"Hansford, Texas",3220
"Hardeman, Texas",2640
"Hardin, Texas",42180
"Harris, Texas",2811285
"Harrison, Texas",50275
"Hartley, Texas",3930
"Haskell, Texas",4210
"Hays, Texas",177270
"Hemphill, Texas",2240
"Henderson, Texas",62555
"Hidalgo, Texas",448470
"Hill, Texas",26465
"Hockley, Texas",14655
"Hood, Texas",48135
"Hopkins, Texas",25995
"Houston, Texas",17290
"Howard, Texas",24355
"Hudspeth, Texas",1660
"Hunt, Texas",73150
"Hutchinson, Texas",14955
"Irion, Texas",1105
"Jack, Texas",6435
"Jackson, Texas",10570
"Jasper, Texas",24790
"Jeff Davis, Texas",1630
"Jefferson, Texas",174980
"Jim Hogg, Texas",3230
"Jim Wells, Texas",27830
"Johnson, Texas",130535
"Jones, Texas",15940
"Karnes, Texas",10915
"Kaufman, Texas",100560
"Kendall, Texas",33125
"Kenedy, Texas",75
"Kent, Texas",480
"Kerr, Texas",41145
"Kimble, Texas",3390
"King, Texas",150
"Kinney, Texas",2585
"Kleberg, Texas",22535
"Knox, Texas",2340
"Lamar, Texas",37115
"Lamb, Texas",8495
"Lampasas, Texas",16655
"La Salle, Texas",5005
"Lavaca, Texas",14795
"Lee, Texas",13120
"Leon, Texas",11805
"Liberty, Texas",59510
"Limestone, Texas",15905
"Lipscomb, Texas",1875
"Live Oak, Texas",8505
"Llano, Texas",17730
"Loving, Texas",70
"Lubbock, Texas",227570
"Lynn, Texas",3985
"McCulloch, Texas",5610
"McLennan, Texas",183140
"McMullen, Texas",430
"Madison, Texas",9690
"Marion, Texas",7885
"Martin, Texas",3365
"Mason, Texas",3000
"Matagorda, Texas",24890
"Maverick, Texas",31280
"Medina, Texas",38240
"Menard, Texas",1560
"Midland, Texas",108595
"Milam, Texas",18395
"Mills, Texas",3545
"Mitchell, Texas",7175
"Montague, Texas",15135
"Montgomery, Texas",417600
"Moore, Texas",10750
"Morris, Texas",8885
"Motley, Texas",1010
"Nacogdoches, Texas",46640
"Navarro, Texas",34805
"Newton, Texas",9640
"Nolan, Texas",10390
"Nueces, Texas",250305
"Ochiltree, Texas",5135
"Oldham, Texas",1370
"Orange, Texas",62030
"Palo Pinto, Texas",21025
"Panola, Texas",16790
"Parker, Texas",110060
"Parmer, Texas",5525
"Pecos, Texas",10515
"Polk, Texas",39165
"Potter, Texas",75885
"Presidio, Texas",2975
"Rains, Texas",9585
"Randall, Texas",104140
"Reagan, Texas",1950
"Real, Texas",2120
"Red River, Texas",9025
"Reeves, Texas",9390
"Refugio, Texas",5155
"Roberts, Texas",585
"Robertson, Texas",12490
"Rockwall, Texas",77710
"Runnels, Texas",7205
"Rusk, Texas",38730
"Sabine, Texas",8175
"San Augustine, Texas",6100
"San Jacinto, Texas",20670
"San Patricio, Texas",48910
"San Saba, Texas",4375
"Schleicher, Texas",1800
"Scurry, Texas",12250
"Shackelford, Texas",2375
"Shelby, Texas",16625
"Sherman, Texas",1575
"Smith, Texas",166895
"Somervell, Texas",6775
"Starr, Texas",32810
"Stephens, Texas",6850
"Sterling, Texas",815
"Stonewall, Texas",950
"Sutton, Texas",2010
"Swisher, Texas",4850
"Tarrant, Texas",1390605
"Taylor, Texas",102860
"Terrell, Texas",745
"Terry, Texas",7790
"Throckmorton, Texas",1155
"Titus, Texas",18230
"Tom Green, Texas",87010
"Travis, Texas",897005
"Trinity, Texas",10690
"Tyler, Texas",15880
"Upshur, Texas",30650
"Upton, Texas",2205
"Uvalde, Texas",16945
"Val Verde, Texas",29385
"Van Zandt, Texas",45025
"Victoria, Texas",65085
"Walker, Texas",62540
"Waller, Texas",40570
"Ward, Texas",7685
"Washington, Texas",27140
"Webb, Texas",139975
"Wharton, Texas",28745
"Wheeler, Texas",3390
"Wichita, Texas",95520
"Wilbarger, Texas",9500
"Willacy, Texas",13750
"Williamson, Texas",422705
"Wilson, Texas",37345
"Winkler, Texas",4880
"Wise, Texas",49410
"Wood, Texas",35465
"Yoakum, Texas",3850
"Young, Texas",12690
"Zapata, Texas",7415
"Zavala, Texas",6465
"Beaver, Utah",4620
"Box Elder, Utah",39380
"Cache, Utah",90270
"Carbon, Utah",14850
"Daggett, Utah",475
"Davis, Utah",242105
"Duchesne, Utah",12965
"Emery, Utah",6870
"Garfield, Utah",3890
"Grand, Utah",7535
"Iron, Utah",40565
"Juab, Utah",7885
"Kane, Utah",5985
"Millard, Utah",8435
"Morgan, Utah",8085
"Piute, Utah",1415
"Rich, Utah",1660
"Salt Lake, Utah",791465
"San Juan, Utah",10370
"Sanpete, Utah",20705
"Sevier, Utah",15185
"Summit, Utah",30380
"Tooele, Utah",49455
"Uintah, Utah",23940
"Utah, Utah",425900
"Wasatch, Utah",23070
"Washington, Utah",132300
"Wayne, Utah",1850
"Weber, Utah",182900
"Addison, Vermont",30425
"Bennington, Vermont",29865
"Caledonia, Vermont",24330
"Chittenden, Vermont",134290
"Essex, Vermont",4890
"Franklin, Vermont",38895
"Grand Isle, Vermont",5955
"Lamoille, Vermont",20215
"Orange, Vermont",23990
"Orleans, Vermont",21945
"Rutland, Vermont",49505
"Washington, Vermont",48200
"Windham, Vermont",37565
"Windsor, Vermont",46710
"Accomack, Virginia",24890
"Albemarle, Virginia",84940
"Alleghany, Virginia",12220
"Amelia, Virginia",10440
"Amherst, Virginia",25035
"Appomattox, Virginia",12550
"Arlington, Virginia",170210
"Augusta, Virginia",61815
"Bath, Virginia",3505
"Bedford, Virginia",63255
"Bland, Virginia",5290
"Botetourt, Virginia",27290
"Brunswick, Virginia",13185
"Buchanan, Virginia",16770
"Buckingham, Virginia",13695
"Campbell, Virginia",43615
"Caroline, Virginia",23525
"Carroll, Virginia",23520
"Charles City, Virginia",5690
"Charlotte, Virginia",8965
"Chesterfield, Virginia",265765
"Clarke, Virginia",11845
"Craig, Virginia",3665
"Culpeper, Virginia",37705
"Cumberland, Virginia",7775
"Dickenson, Virginia",11345
"Dinwiddie, Virginia",21990
"Essex, Virginia",8735
"Fairfax, Virginia",757945
"Fauquier, Virginia",53835
"Floyd, Virginia",12515
"Fluvanna, Virginia",21845
"Franklin, Virginia",43965
"Frederick, Virginia",66950
"Giles, Virginia",13300
"Gloucester, Virginia",30955
"Goochland, Virginia",20490
"Grayson, Virginia",12745
"Greene, Virginia",15455
"Greensville, Virginia",9275
"Halifax, Virginia",27005
"Hanover, Virginia",84740
"Henrico, Virginia",239315
"Henry, Virginia",40400
"Highland, Virginia",1955
"Isle of Wight, Virginia",30220
"James City, Virginia",61295
"King and Queen, Virginia",5445
"King George, Virginia",19980
"King William, Virginia",13680
"Lancaster, Virginia",9195
"Lee, Virginia",17925
"Loudoun, Virginia",269115
"Louisa, Virginia",29965
"Lunenburg, Virginia",9255
"Madison, Virginia",10920
"Mathews, Virginia",7240
"Mecklenburg, Virginia",24215
"Middlesex, Virginia",8920
"Montgomery, Virginia",79320
"Nelson, Virginia",11970
"New Kent, Virginia",18415
"Northampton, Virginia",9460
"Northumberland, Virginia",10185
"Nottoway, Virginia",12380
"Orange, Virginia",28210
"Page, Virginia",18815
"Patrick, Virginia",14495
"Pittsylvania, Virginia",49025
"Powhatan, Virginia",24720
"Prince Edward, Virginia",18180
"Prince George, Virginia",33575
"Prince William, Virginia",305755
"Pulaski, Virginia",27705
"Rappahannock, Virginia",6030
"Richmond, Virginia",7175
"Roanoke, Virginia",75235
"Rockbridge, Virginia",18495
