geoname,cvap_est
"Stewart, Georgia",3545
"Sumter, Georgia",22340
"Talbot, Georgia",4845
"Taliaferro, Georgia",1365
"Tattnall, Georgia",18305
"Taylor, Georgia",6160
"Telfair, Georgia",8785
"Terrell, Georgia",6835
"Thomas, Georgia",34255
"Tift, Georgia",29430
"Toombs, Georgia",18740
"Towns, Georgia",10860
"Treutlen, Georgia",4855
"Troup, Georgia",51210
"Turner, Georgia",6440
"Twiggs, Georgia",6390
"Union, Georgia",20720
"Upson, Georgia",20995
"Walker, Georgia",53140
"Walton, Georgia",72405
"Ware, Georgia",26550
"Warren, Georgia",4135
"Washington, Georgia",15555
"Wayne, Georgia",22425
"Webster, Georgia",1860
"Wheeler, Georgia",6325
"White, Georgia",22610
"Whitfield, Georgia",66125
"Wilcox, Georgia",6910
"Wilkes, Georgia",7415
"Wilkinson, Georgia",6695
"Worth, Georgia",15940
"Hawaii, Hawaii",147780
"Honolulu, Hawaii",732090
"Kalawao, Hawaii",50
"Kauai, Hawaii",52955
"Maui, Hawaii",117860
"Ada, Idaho",372775
"Adams, Idaho",3695
"Bannock, Idaho",63645
"Bear Lake, Idaho",4660
"Benewah, Idaho",7535
"Bingham, Idaho",32410
"Blaine, Idaho",16885
"Boise, Idaho",6500
"Bonner, Idaho",38180
"Bonneville, Idaho",84390
"Boundary, Idaho",9125
"Butte, Idaho",1915
"Camas, Idaho",780
"Canyon, Idaho",160230
"Caribou, Idaho",4870
"Cassia, Idaho",15655
"Clark, Idaho",415
"Clearwater, Idaho",7405
"Custer, Idaho",3665
"Elmore, Idaho",20370
"Franklin, Idaho",9725
"Fremont, Idaho",9735
"Gem, Idaho",14330
"Gooding, Idaho",10095
"Idaho, Idaho",13420
"Jefferson, Idaho",20190
"Jerome, Idaho",14150
"Kootenai, Idaho",132880
"Latah, Idaho",31530
"Lemhi, Idaho",6620
"Lewis, Idaho",2805
"Lincoln, Idaho",3325
"Madison, Idaho",40440
"Minidoka, Idaho",13890
"Nez Perce, Idaho",32990
"Oneida, Idaho",3275
"Owyhee, Idaho",8225
