State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
HI,Kauai,7.5,28.9,33.2,30.4
HI,Maui,7.5,30.2,32.2,30.1
ID,Ada,4.7,19.8,32.7,42.8
ID,Adams,6,35.9,36.9,21.3
ID,Bannock,6.6,25.5,38.4,29.5
ID,Bear Lake,6.9,35.2,37.1,20.8
ID,Benewah,14.9,34.3,32.2,18.6
ID,Bingham,11.6,32.3,36.2,19.9
ID,Blaine,8.2,24.7,22.6,44.5
ID,Boise,4.6,29,39.4,27.1
ID,Bonner,8.7,30.2,33.9,27.2
ID,Bonneville,8,25.2,34.9,31.9
ID,Boundary,13.1,37,31.7,18.2
ID,Butte,9.6,29.6,44.6,16.2
ID,Camas,12.8,29.6,30.6,27
ID,Canyon,13,29.9,35.4,21.6
ID,Caribou,9.6,34.3,40.5,15.7
ID,Cassia,14.3,28.9,36.3,20.5
ID,Clark,38.4,28.3,18.1,15.3
ID,Clearwater,8.2,37,36.7,18.1
ID,Custer,8.7,26.9,35.6,28.8
ID,Elmore,12,28.9,38.3,20.9
ID,Franklin,7.9,46,28.8,17.2
ID,Fremont,10.2,30.1,38.3,21.4
ID,Gem,9.8,34.8,32.9,22.5
ID,Gooding,21,33.8,29.4,15.8
ID,Idaho,7.8,34.8,36,21.5
ID,Jefferson,7.4,25.5,40.3,26.8
ID,Jerome,24.7,28.5,33.6,13.1
ID,Kootenai,6.4,27.1,39.7,26.7
ID,Latah,3.1,21,31.6,44.3
ID,Lemhi,8.3,31.4,38.1,22.2
ID,Lewis,10.1,30.4,41,18.5
ID,Lincoln,18.4,34.6,35.8,11.2
ID,Madison,2.6,16.7,41.6,39.1
ID,Minidoka,18.7,36.2,29.2,15.9
ID,Nez Perce,7,29.7,37.6,25.7
ID,Oneida,6.6,38.7,30.9,23.8
ID,Owyhee,23.9,34.3,27.9,13.9
ID,Payette,14.1,34.4,31.4,20.2
ID,Power,15.7,32.1,37.5,14.7
ID,Shoshone,11.9,36.8,39.6,11.6
ID,Teton,6.6,18.1,28.2,47.1
ID,Twin Falls,12.6,28.3,35.5,23.6
ID,Valley,7.2,26.9,29.5,36.4
ID,Washington,9.8,30.9,41.9,17.5
IL,Illinois,9.9,25.3,28.1,36.7
IL,Adams,6.7,34.5,31.9,26.9
IL,Alexander,13.6,41.8,34.2,10.3
IL,Bond,11.1,32.5,35.4,21.1
IL,Boone,13.4,32.3,30.3,24
IL,Brown,19.7,40,26.3,14
IL,Bureau,9.7,34.9,34,21.5
IL,Calhoun,8,36.2,36.2,19.5
IL,Carroll,11.6,35.9,33.8,18.7
IL,Cass,13.8,42.6,24.3,19.2
IL,Champaign,5.3,22,27.1,45.6
IL,Christian,9.6,44,29.3,17.2
IL,Clark,7.8,35.3,32.5,24.4
IL,Clay,11.9,37.6,35.6,15
IL,Clinton,8,33,35.4,23.6
IL,Coles,8.1,31.8,33.1,27
IL,Cook,11.8,22.3,24.6,41.3
IL,Crawford,11.4,28.6,41.1,18.9
IL,Cumberland,6.6,39,36.7,17.7
IL,DeKalb,7,24.9,34.1,34.1
IL,De Witt,5.8,41.3,31.4,21.5
IL,Douglas,15.2,33.9,31,19.9
IL,DuPage,6.5,18,24.4,51.1
IL,Edgar,12.1,38.9,30.2,18.8
IL,Edwards,8.9,34.5,42.7,13.9
IL,Effingham,6.5,32.5,35.1,25.9
IL,Fayette,13.4,40.5,31.3,14.8
IL,Ford,8.3,35.5,36.5,19.8
IL,Franklin,10.1,33,39.3,17.7
IL,Fulton,10.1,37.4,34.8,17.7
IL,Gallatin,12.8,38.3,36.6,12.4
IL,Greene,9.6,45.6,29.3,15.4
IL,Grundy,6,32,36.3,25.7
IL,Hamilton,13.7,30.7,38.4,17.2
IL,Hancock,5.6,34.5,35.4,24.6
IL,Hardin,12.7,38.1,37.2,12
IL,Henderson,7,39.8,32.5,20.7
IL,Henry,7.5,34.2,33.6,24.7
IL,Iroquois,11.3,39.2,31.8,17.6
IL,Jackson,8.2,22.2,34.4,35.2
IL,Jasper,6.7,36.9,35,21.4
IL,Jefferson,9.4,31.7,40.7,18.1
IL,Jersey,6.7,38.3,33.3,21.8
IL,Jo Daviess,6.5,34.6,31.1,27.9
IL,Johnson,15.4,33,35,16.6
IL,Kane,13.5,22.6,27.6,36.3
IL,Kankakee,10.1,35.2,34.4,20.3
IL,Kendall,6.6,24.5,33.1,35.8
IL,Knox,11.2,34.2,34.2,20.4
IL,Lake,9.2,19.8,24,46.9
IL,La Salle,8.9,35.5,37.2,18.4
IL,Lawrence,14.8,35.8,35.2,14.1
IL,Lee,10,36,35.2,18.9
IL,Livingston,9.5,39.9,31.9,18.7
IL,Logan,8.5,38.4,32.9,20.2
IL,McDonough,5.6,33.7,29.5,31.2
IL,McHenry,6.1,26.3,32.3,35.3
IL,McLean,4.1,23.1,26.8,46
IL,Macon,7.6,37,31.5,23.9
IL,Macoupin,9,39.7,32,19.3
IL,Madison,6.7,28.7,35.2,29.4
IL,Marion,10,36.5,36.8,16.7
IL,Marshall,8,38.8,35.8,17.4
IL,Mason,8.7,38.8,35.2,17.3
IL,Massac,12.3,36,37,14.7
IL,Menard,5,33.5,35.7,25.9
IL,Mercer,7.6,39.2,35.3,17.9
IL,Monroe,4.3,24.7,33.1,37.9
IL,Montgomery,10.3,42.8,28.8,18.2
IL,Morgan,10.4,39.2,28,22.4
IL,Moultrie,13.6,32.6,33.1,20.7
IL,Ogle,8.7,33.6,34.3,23.4
IL,Peoria,7.1,27.5,31.6,33.7
IL,Perry,15.5,35.1,38.4,10.9
IL,Piatt,6.1,32.2,30.9,30.8
IL,Pike,9,41.6,31.4,18.1
IL,Pope,11.8,41,31.7,15.4
IL,Pulaski,11.9,40.7,32.9,14.5
IL,Putnam,6.4,36.9,33.3,23.5
IL,Randolph,14,38.1,34.2,13.7
IL,Richland,7.9,32,41.2,18.9
IL,Rock Island,10.4,30,35.6,24.1
IL,St. Clair,7.8,26.5,35.3,30.4
IL,Saline,11.8,29.8,38.2,20.2
IL,Sangamon,6.8,28.3,30.3,34.6
IL,Schuyler,8.3,39.2,35.5,16.9
IL,Scott,7.3,46.1,24.6,22
IL,Shelby,6.1,42.5,33.1,18.3
IL,Stark,9.1,40,32,19
IL,Stephenson,8.2,33.4,38.1,20.3
IL,Tazewell,6.3,30.7,35.4,27.5
IL,Union,12,34.5,31.7,21.7
IL,Vermilion,9.4,41.5,33.5,15.6
IL,Wabash,7,32,42.5,18.5
IL,Warren,12.5,34.6,31.8,21.1
IL,Washington,7.5,32.8,36.6,23.1
IL,Wayne,10.7,34.1,39.4,15.8
IL,White,11.5,33.8,38.7,16
IL,Whiteside,9.2,37.8,33.7,19.3
IL,Will,8.4,25.7,29.8,36.1
IL,Williamson,7.3,29.1,36.5,27.1
IL,Winnebago,11.5,31.1,33.3,24.1
IL,Woodford,5.8,27.8,31.1,35.4
IN,Indiana,10,33,28.8,28.2
IN,Adams,13.3,44.4,26.9,15.4
IN,Allen,9.9,28.2,31.4,30.5
IN,Bartholomew,8.2,31.2,25.8,34.8
IN,Benton,11.4,40.6,29.2,18.7
IN,Blackford,9.6,49.2,26.4,14.8
IN,Boone,5,19.3,26.2,49.5
IN,Brown,7.1,34.9,30.5,27.5
IN,Carroll,9.7,43.3,30.4,16.6
IN,Cass,14.3,42.3,28,15.4
IN,Clark,9.5,33.3,32.6,24.6
IN,Clay,8.6,41.5,33.1,16.9
IN,Clinton,13,44.3,26.4,16.3
IN,Crawford,14.3,47.6,25.8,12.2
IN,Daviess,23,35,27,15.1
IN,Dearborn,8.9,38.5,27.9,24.7
IN,Decatur,8.8,42.8,27.9,20.5
IN,DeKalb,8.6,43.5,28.9,19
IN,Delaware,9.3,33.6,31.6,25.5
IN,Dubois,10.1,38.7,27.3,23.9
IN,Elkhart,17.8,36.1,26,20
IN,Fayette,14.8,44.5,25.3,15.4
IN,Floyd,7.6,31.1,29.9,31.3
IN,Fountain,11.1,45.6,29.8,13.5
IN,Franklin,10.5,40.1,28.7,20.7
IN,Fulton,12.7,39.1,30.4,17.8
IN,Gibson,9.4,40.8,31.9,18
IN,Grant,11.4,38.2,32,18.4
IN,Greene,11.7,39.7,32.4,16.1
IN,Hamilton,2.8,14.8,21.6,60.8
IN,Hancock,6.7,30.1,30.4,32.8
IN,Harrison,9.8,40.5,29.1,20.6
IN,Hendricks,6.5,26.6,27.6,39.2
IN,Henry,8.9,43.2,30.8,17.1
IN,Howard,8.7,37.9,33.6,19.8
IN,Huntington,7.4,42.7,27.9,21.9
IN,Jackson,10,42,29.5,18.6
IN,Jasper,7.1,43.3,30.6,19
IN,Jay,12.5,46.3,28.2,12.9
IN,Jefferson,12.1,39.5,30.3,18
IN,Jennings,11.2,43.8,30.9,14.1
IN,Johnson,7.4,30.9,29.2,32.4
IN,Knox,10.9,35.6,35.3,18.1
IN,Kosciusko,12.2,35.2,28.5,24.1
IN,LaGrange,39.4,30.1,19.2,11.2
IN,Lake,9.8,35.4,30.4,24.5
IN,LaPorte,10.1,39.1,29.7,21.1
IN,Lawrence,10.9,38.6,31.6,19
IN,Madison,10.1,39.1,31.3,19.4
IN,Marion,12.7,27.5,26.6,33.2
IN,Marshall,14.2,37.8,27.9,20
IN,Martin,11.2,42.5,32.2,14.1
IN,Miami,13.2,42.5,28.8,15.5
IN,Monroe,5.3,21.4,25.1,48.2
IN,Montgomery,10.8,41.2,27.1,20.8
IN,Morgan,10.5,38.8,30.4,20.3
IN,Newton,13,45.3,28.3,13.4
IN,Noble,16.8,39.6,25.9,17.7
IN,Ohio,7.3,45.2,31.8,15.7
IN,Orange,14.7,44.7,26.6,13.9
IN,Owen,13.6,42.9,28.1,15.3
IN,Parke,14.7,37.9,32.3,15.1
IN,Perry,8.8,45.9,29.2,16.2
IN,Pike,9.6,47.8,28.5,14.1
IN,Porter,6.1,34.5,29.5,29.9
IN,Posey,6.3,36.3,31.9,25.5
IN,Pulaski,11.9,45.3,28.7,14.1
IN,Putnam,9.1,38.8,32.7,19.4
IN,Randolph,10.1,42.3,32.4,15.1
IN,Ripley,9.4,42.5,29.1,19
IN,Rush,10.6,45.8,27.9,15.7
IN,St. Joseph,9.1,29.9,29,32
IN,Scott,18.1,44.8,25.6,11.5
IN,Shelby,10.9,42.1,27.4,19.6
IN,Spencer,7.5,40.3,32.3,19.9
IN,Starke,14.9,43.4,28.6,13.1
IN,Steuben,7.3,39.2,29.1,24.4
IN,Sullivan,11.1,42.1,32.9,13.8
IN,Switzerland,16.9,45.6,26.7,10.8
IN,Tippecanoe,8,27.1,25.9,39.1
IN,Tipton,9.2,37.1,28.8,24.8
IN,Union,11.2,36.5,32.4,19.9
IN,Vanderburgh,8.8,32.4,31.8,27.1
IN,Vermillion,7.5,40.7,33.9,17.9
IN,Vigo,9.5,33.2,31.6,25.6
IN,Wabash,8.6,41.8,27.9,21.7
IN,Warren,7.4,41.3,32,19.2
IN,Warrick,5.1,28.3,32.2,34.5
IN,Washington,12.5,41.9,31.5,14.1
IN,Wayne,12,36.3,32.7,19
IN,Wells,6.7,42.7,31.5,19.1
IN,White,9.7,39.9,32.1,18.3
IN,Whitley,8.2,37.2,31.9,22.8
IA,Adair,4.3,41.1,35.6,19
IA,Adams,6,35.4,37.1,21.4
IA,Allamakee,8.3,41.5,31.8,18.4
IA,Appanoose,8.1,37.6,35.6,18.8
IA,Audubon,9.5,35.9,33,21.7
IA,Benton,5.6,34.5,36.6,23.3
IA,Black Hawk,7.1,30.2,32.7,30
IA,Boone,4.8,32.3,36.5,26.4
IA,Bremer,3.9,30.7,31.4,34
IA,Buchanan,6.4,35.6,36.9,21.1
IA,Buena Vista,20.7,31.4,26.3,21.6
IA,Butler,6.5,37.1,37.1,19.4
IA,Calhoun,6.1,36.6,35.9,21.4
IA,Carroll,5.3,36,36.6,22.1
IA,Cass,8.8,37.3,33,20.9
IA,Cedar,4.4,40.1,34.6,20.9
IA,Cerro Gordo,6.3,34.4,35.4,24
IA,Cherokee,6.8,40.5,31,21.7
IA,Chickasaw,6.4,45.2,29.8,18.6
IA,Clarke,15.5,42.3,26.9,15.2
IA,Clay,4.5,32.1,37.4,26
IA,Clayton,9.3,43,30.5,17.2
IA,Clinton,8,37.2,33.2,21.6
IA,Crawford,17.5,34.9,31.5,16.1
IA,Dallas,3.7,18.6,26.1,51.5
IA,Davis,20.8,29.4,30.7,19
IA,Decatur,10.9,37.2,27,24.9
IA,Delaware,7.9,42.6,31,18.5
IA,Des Moines,7.1,34.9,34.7,23.3
IA,Dickinson,3.5,28.6,35.3,32.7
IA,Dubuque,6,33.4,28.6,32
IA,Emmet,12.7,33.4,38.7,15.2
IA,Fayette,7.1,42.1,33.6,17.2
IA,Floyd,6.8,40.8,34.1,18.2
IA,Franklin,7.6,38.9,35,18.5
IA,Fremont,5.1,35.9,39.8,19.2
IA,Greene,6.8,35.1,38.4,19.7
IA,Grundy,4.1,33.4,36.3,26.1
IA,Guthrie,5.7,34.2,38.4,21.6
IA,Hamilton,7.4,34.4,35.8,22.5
IA,Hancock,8.7,36.1,35.1,20.2
IA,Hardin,6.6,34.9,37.6,20.8
IA,Harrison,6.9,37.8,34.7,20.6
IA,Henry,8.9,34.4,34,22.8
IA,Howard,8,41.1,31.8,19.2
IA,Humboldt,5.8,37.1,38.7,18.4
IA,Ida,7,39.4,33.9,19.7
IA,Iowa,6.3,35.5,35.4,22.8
IA,Jackson,6,42,33.5,18.4
IA,Jasper,5.8,40.6,33.9,19.7
IA,Jefferson,6.7,23.8,30,39.5
IA,Johnson,4,15.6,26.4,54.1
IA,Jones,5.7,38.6,33.2,22.5
IA,Keokuk,6.5,44.2,32.9,16.4
IA,Kossuth,6.3,34.6,39.3,19.9
IA,Lee,5.9,37.9,35.8,20.3
IA,Linn,5,26.2,34.2,34.6
IA,Louisa,13.9,39.1,32.6,14.4
IA,Lucas,7.6,44.1,33.4,14.9
IA,Lyon,5.3,41.6,33.7,19.4
IA,Madison,3,34,37.1,25.8
IA,Mahaska,6.8,38.3,32.6,22.4
IA,Marion,5.9,32.1,30.3,31.7
IA,Marshall,14.8,33.5,30.7,21
IA,Mills,4.9,29,35.6,30.5
IA,Mitchell,7.7,35.6,35.2,21.4
IA,Monona,7,39.7,37.6,15.7
IA,Monroe,7,39.7,30.7,22.7
IA,Montgomery,8.4,34.7,38.4,18.6
IA,Muscatine,9.9,35,31.8,23.2
IA,O'Brien,9.3,37.1,32,21.6
IA,Osceola,13.8,38.1,33.9,14.2
IA,Page,7.1,40.8,34.4,17.7
IA,Palo Alto,7,30.2,42.6,20.2
IA,Plymouth,5.7,36,34.2,24.1
IA,Pocahontas,8.5,37.7,36.7,17.1
IA,Polk,7.3,24.7,29.1,38.9
IA,Pottawattamie,9.4,33.6,33.6,23.4
IA,Poweshiek,5.1,39,27,28.9
IA,Ringgold,6,37.5,33.9,22.6
IA,Sac,6.3,34.4,37.6,21.6
IA,Scott,6,26.6,32.4,34.9
IA,Shelby,5.8,34.7,36.7,22.8
IA,Sioux,8.4,28.8,31.5,31.3
IA,Story,2.9,16.2,28.3,52.5
IA,Tama,9,41.6,31.1,18.3
IA,Taylor,9,41.3,34.2,15.5
IA,Union,7.2,34.5,34.2,24.1
IA,Van Buren,11.6,38.7,31.2,18.5
IA,Wapello,12.1,38,31.5,18.5
IA,Warren,3.5,30,34.3,32.2
IA,Washington,7.7,36.3,31.6,24.4
IA,Wayne,10.6,41.5,32.9,15
IA,Webster,8.2,33.7,37.4,20.7
IA,Winnebago,5.5,31.8,36.8,25.9
IA,Winneshiek,4.8,33,31.7,30.5
IA,Woodbury,12.4,32.7,31,24
IA,Worth,5.7,35.6,39.2,19.5
IA,Wright,7.3,35.3,36.4,21
KS,Kansas,8.2,25.7,31.4,34.7
KS,Allen,7.4,34.8,38.2,19.6
KS,Anderson,13.5,40.5,30.7,15.3
KS,Atchison,6.2,41.9,29.7,22.2
KS,Barber,8.5,33.7,34.2,23.6
KS,Barton,10.4,30.4,37.6,21.7
KS,Bourbon,10.3,30.3,35.7,23.7
KS,Brown,6.5,38.9,34.6,20.1
KS,Butler,5.8,27.6,34.6,32
KS,Chase,6.7,36,30.8,26.5
KS,Chautauqua,11.2,35.7,36.9,16.2
KS,Cherokee,10.1,32.4,37.7,19.8
KS,Cheyenne,10.8,31.8,35.2,22.2
KS,Clark,5.8,27.2,41,26.1
KS,Clay,5.8,34.8,33.1,26.3
KS,Cloud,4.1,30.8,42.6,22.4
KS,Coffey,6.3,32.5,39,22.2
KS,Comanche,3.5,31.4,44,21.1
KS,Cowley,8.3,29.4,37.8,24.5
KS,Crawford,5.7,29.2,34.3,30.9
KS,Decatur,6.4,32.8,36,24.8
KS,Dickinson,6.4,31.7,38.3,23.5
KS,Doniphan,8.8,33.6,38.7,18.9
KS,Douglas,4,19.3,24.4,52.3
KS,Edwards,12.4,35.1,34.6,17.9
KS,Elk,13.1,36.3,32.5,18.2
KS,Ellis,4.7,27.9,28.7,38.7
KS,Ellsworth,7.7,34.9,36.6,20.8
KS,Finney,27.9,24.2,29.4,18.5
KS,Ford,22.8,25.4,32,19.8
KS,Franklin,8,36.3,31.8,23.9
KS,Geary,6.3,26.3,43.5,23.8
KS,Gove,6.2,39.4,34.7,19.7
KS,Graham,6.2,33.7,35.7,24.4
KS,Grant,20.8,26.9,32,20.2
KS,Gray,24.7,23.9,29.5,21.9
KS,Greeley,11.1,25.1,35,28.8
KS,Greenwood,8.4,36.9,38.7,16
KS,Hamilton,14.4,39.8,26.6,19.2
KS,Harper,10.3,37.9,34.4,17.5
KS,Harvey,8.2,25.3,35.9,30.7
KS,Haskell,24.8,25.6,33.8,15.8
KS,Hodgeman,7.4,28,34.1,30.5
KS,Jackson,6.2,38,34.8,21
KS,Jefferson,4.3,37.9,33.3,24.5
KS,Jewell,7.5,37.5,36.5,18.5
KS,Johnson,3.5,14,25.8,56.7
KS,Kearny,19.6,36.3,27.5,16.6
KS,Kingman,9.2,30.8,35.7,24.3
KS,Kiowa,11,29.4,34.2,25.3
KS,Labette,9.5,30.3,37.6,22.6
KS,Lane,4.2,25.3,50.6,19.9
KS,Leavenworth,6.6,28.3,29.6,35.5
KS,Lincoln,5.4,25.4,45.6,23.7
KS,Linn,6.5,37.3,34.2,22.1
KS,Logan,7.6,28.8,36.9,26.7
KS,Lyon,12.2,32.2,28.9,26.7
KS,McPherson,7.3,25.1,36.2,31.4
KS,Marion,7.9,32.2,32.2,27.6
KS,Marshall,7.8,38.8,32.6,20.8
KS,Meade,13.6,25,37.3,24
KS,Miami,4.4,31.6,33.4,30.6
KS,Mitchell,4.7,23.6,42.9,28.8
KS,Montgomery,10,33.8,36.1,20.1
KS,Morris,7.5,35.2,29.4,27.9
KS,Morton,12.2,36.1,34.2,17.5
KS,Nemaha,6.8,36.2,28.7,28.3
KS,Neosho,9,29.7,40.2,21.1
KS,Ness,8.6,34.9,35.6,20.9
KS,Norton,9.2,31.2,38.8,20.8
KS,Osage,7.9,40.8,31.3,20
KS,Osborne,4.6,31.8,40.5,23.1
KS,Ottawa,5.2,30.4,40.6,23.7
KS,Pawnee,10.3,33.7,37.6,18.3
KS,Phillips,8.9,34.3,36.6,20.1
KS,Pottawatomie,4,27,31.2,37.9
KS,Pratt,8.1,28.7,35.3,27.9
KS,Rawlins,5.3,30.3,46.9,17.5
KS,Reno,8.3,31.1,40.1,20.5
KS,Republic,4.6,32.1,36.9,26.4
KS,Rice,8,29.5,38.8,23.7
KS,Riley,4.2,16.4,31.6,47.8
KS,Rooks,7.4,31.9,38,22.7
KS,Rush,9.1,32.1,39.3,19.5
KS,Russell,6.6,30.6,42.7,20.2
KS,Saline,6.3,29.6,35.9,28.2
KS,Scott,15.1,29.5,35.5,19.9
KS,Sedgwick,10.5,25.8,32,31.7
KS,Seward,30.2,30.1,28.3,11.3
KS,Shawnee,7.1,30.1,31,31.7
KS,Sheridan,3.7,34.6,37.4,24.3
KS,Sherman,10.3,28.7,34.9,26.1
KS,Smith,4.6,39.3,33.1,23.1
KS,Stafford,6.8,29.5,37.6,26.1
KS,Stanton,20,37.6,25,17.4
KS,Stevens,25.6,25.7,36.1,12.5
KS,Sumner,6.5,36.2,33.3,23.9
KS,Thomas,5.5,23.2,44.8,26.5
KS,Trego,5.5,31,38.5,25
KS,Wabaunsee,3.4,38.2,33.3,25.1
KS,Wallace,7.4,28.9,37.8,25.9
KS,Washington,6.5,40,31,22.5
KS,Wichita,11.8,29.4,37.4,21.4
KS,Wilson,8.7,37.4,34.4,19.5
KS,Woodson,8,38,33,21.1
KS,Wyandotte,18.6,32,29.4,20
KY,Kentucky,11.8,32.7,29,26.5
KY,Adair,13.9,39.8,27.7,18.6
KY,Allen,13.5,39.9,28.3,18.3
KY,Anderson,8.9,35.1,30.7,25.3
KY,Ballard,7.9,40.6,34.2,17.3
KY,Barren,15.3,42,25.3,17.4
KY,Bath,18.6,44.2,22.9,14.4
KY,Bell,21.8,40.3,26.2,11.7
KY,Boone,6.2,29.1,30.1,34.6
KY,Bourbon,14.7,34.4,27.6,23.2
KY,Boyd,11.3,32,35.9,20.8
KY,Boyle,9.6,35.2,28.4,26.8
KY,Bracken,12,43.5,26.9,17.6
KY,Breathitt,20.5,40.1,22.3,17
KY,Breckinridge,14.9,42.1,28.7,14.3
KY,Bullitt,10.6,40.8,31,17.5
KY,Butler,19.3,46,23.4,11.3
KY,Caldwell,12.3,42.6,29,16.1
KY,Calloway,9.7,31.9,26.9,31.5
KY,Campbell,6.7,26.5,27.5,39.3
KY,Carlisle,13.1,44.7,28.8,13.3
KY,Carroll,17.3,43.3,33.7,5.8
KY,Carter,18.8,40.2,26.5,14.5
KY,Casey,22.7,43.5,21.5,12.2
KY,Christian,13.7,32.3,34.9,19.1
KY,Clark,11,37.6,31.4,20
KY,Clay,27.9,38.2,19.7,14.3
KY,Clinton,19.1,40.3,26.6,14
KY,Crittenden,13.6,45.5,28.5,12.5
KY,Cumberland,19.6,43.1,20.1,17.1
KY,Daviess,8.8,33.9,31.9,25.4
KY,Edmonson,18.4,43.5,26.7,11.4
KY,Elliott,24.6,45.5,19.8,10.2
KY,Estill,23.5,43.3,22,11.1
KY,Fayette,7.8,18.8,26.8,46.5
KY,Fleming,18.6,42.4,23.2,15.8
KY,Floyd,20.7,39.3,27,13.1
KY,Franklin,8.1,29.6,30.7,31.6
KY,Fulton,19.6,39.8,26.5,14
KY,Gallatin,15.4,45.8,25.7,13
KY,Garrard,15.1,37.2,27.7,19.9
KY,Grant,11.1,44.6,28.5,15.7
KY,Graves,9.9,41.5,30,18.6
KY,Grayson,16.4,44.6,25.7,13.3
KY,Green,17.1,41.3,28,13.5
KY,Greenup,10.1,36.8,35.4,17.6
KY,Hancock,12.8,40.9,28.8,17.4
KY,Hardin,7.7,30.9,37.5,23.9
KY,Harlan,23,35.9,30.5,10.5
KY,Harrison,13.5,42.9,25.5,18.1
KY,Hart,21.6,43.8,24.1,10.5
KY,Henderson,10.7,37.5,33,18.9
KY,Henry,15.8,42.1,27.4,14.7
KY,Hickman,11.6,38.7,27.4,22.2
KY,Hopkins,11.4,40.3,32.9,15.5
KY,Jackson,27,40.8,21,11.2
KY,Jefferson,8.7,25.8,29.4,36.1
KY,Jessamine,10.4,31,28.3,30.3
KY,Johnson,17.2,41.1,27.1,14.6
KY,Kenton,8,27.2,28.3,36.5
KY,Knott,28.3,27.9,27.5,16.3
KY,Knox,21,39.2,23.1,16.7
KY,Larue,15.6,35,34.2,15.2
KY,Laurel,16,40.3,27.1,16.6
KY,Lawrence,23.1,43.6,22.5,10.9
KY,Lee,26.5,41.4,24.7,7.3
KY,Leslie,18,41.4,29,11.6
KY,Letcher,21.1,36,29.8,13.1
KY,Lewis,21.3,44.4,24.1,10.2
KY,Lincoln,17.4,43.5,23.6,15.4
KY,Livingston,13,44,29.9,13.2
KY,Logan,12.3,42.9,27.7,17.1
KY,Lyon,9.5,46.6,29.4,14.5
KY,McCracken,7.3,31.6,32.9,28.2
KY,McCreary,22,43.5,27.6,6.8
KY,McLean,8.7,40.4,32.9,18
KY,Madison,9.2,28.5,28.9,33.3
KY,Magoffin,27.5,39.8,21.8,10.9
KY,Marion,15.6,43.6,27.9,12.8
KY,Marshall,7.7,35,34.8,22.4
KY,Martin,24.7,36.9,27.6,10.8
KY,Mason,14.4,31.8,31.2,22.6
KY,Meade,10.4,39.6,32.2,17.8
KY,Menifee,20.3,42.9,26,10.8
KY,Mercer,9.9,35.2,33.3,21.7
KY,Metcalfe,16.7,42.3,26.9,14.1
KY,Monroe,18.4,42.4,23.2,16
KY,Montgomery,14.8,41.5,25.6,18.2
KY,Morgan,22.5,37.9,21.9,17.7
KY,Muhlenberg,15.8,41.9,29,13.3
KY,Nelson,7.8,36.6,33.1,22.5
KY,Nicholas,18.4,45.4,29.1,7.1
KY,Ohio,18.2,39.8,27.7,14.4
KY,Oldham,5.8,19.7,29.2,45.4
KY,Owen,16.2,44.1,20.9,18.9
KY,Owsley,28.6,43.7,16.6,11.1
KY,Pendleton,14.5,43.2,25.8,16.6
KY,Perry,20.4,34.3,32.1,13.2
KY,Pike,20.2,38.7,25.2,15.8
KY,Powell,18.1,43.5,23.3,15.1
KY,Pulaski,16.2,35,31,17.8
KY,Robertson,15.8,39.1,32.9,12.2
KY,Rockcastle,18.1,45.5,24.4,12
KY,Rowan,13.2,34.2,25.5,27.1
KY,Russell,17.3,38.6,27.7,16.4
KY,Scott,5.7,29.3,33.1,31.9
KY,Shelby,11.4,30.1,28.2,30.2
KY,Simpson,9.8,43.9,31.8,14.6
KY,Spencer,7.4,39.2,31.3,22.1
KY,Taylor,11.6,34.9,30.5,23
KY,Todd,21.4,38.7,23.4,16.5
KY,Trigg,12.2,32.3,35.1,20.5
KY,Trimble,14.5,43.2,28.7,13.7
KY,Union,9.4,45.6,34.8,10.2
KY,Warren,11.4,27.3,28.4,32.9
KY,Washington,11.9,42.4,25.9,19.8
KY,Wayne,23.6,39.6,23,13.8
KY,Webster,14.3,46.4,27.8,11.5
KY,Whitley,17.9,39.4,24,18.7
KY,Wolfe,36.4,32.5,24,7
KY,Woodford,8.8,26.2,24.3,40.7
LA,Lousiana,13.3,32.9,27.7,26.1
LA,Acadia Parish,19.9,43.5,22.9,13.7
LA,Allen Parish,20.4,43.3,24.2,12
LA,Ascension Parish,11.2,29.4,30.3,29
LA,Assumption Parish,20.9,43.9,21.7,13.4
LA,Avoyelles Parish,22,35.8,29.9,12.3
LA,Beauregard Parish,11.8,40.6,29.6,17.9
LA,Bienville Parish,14.3,48.2,25.1,12.4
LA,Bossier Parish,9.7,29.3,33.4,27.6
LA,Caddo Parish,12.7,32.6,30.4,24.3
LA,Calcasieu Parish,11.3,34,31.1,23.6
LA,Caldwell Parish,20.1,48.7,19.2,12.1
LA,Cameron Parish,9.7,40.9,35,14.4
LA,Catahoula Parish,25,40.5,16.9,17.6
LA,Claiborne Parish,21.5,47,19.9,11.7
LA,Concordia Parish,14.2,44.3,24,17.6
LA,De Soto Parish,17.6,39.6,26.4,16.3
LA,East Baton Rouge Parish,9.2,26,26.7,38.2
LA,East Carroll Parish,32.3,34.8,21.1,11.8
LA,East Feliciana Parish,15.6,42.1,26.2,16.1
LA,Evangeline Parish,23.5,40.6,23.7,12.2
LA,Franklin Parish,21.8,42.1,20.7,15.3
LA,Grant Parish,19.6,43.2,25.3,12
LA,Iberia Parish,17.3,41.9,26.6,14.2
LA,Iberville Parish,20.3,37.9,26.8,14.9
LA,Jackson Parish,16.7,44,26.5,12.8
LA,Jefferson Parish,12.8,28.4,29.1,29.8
LA,Jefferson Davis Parish,16.9,42.4,25.5,15.2
