State,Area name,"Percent of adults with less than a high school diploma, 2018-22","Percent of adults with a high school diploma only, 2018-22","Percent of adults completing some college or associate's degree, 2018-22","Percent of adults with a bachelor's degree or higher, 2018-22"
AK,Skagway Municipality,7.3,34,30.8,27.8
AK,Skagway-Yakutat-Angoon Census Area,,,,
AK,Skagway-Hoonah-Angoon Census Area,,,,
AK,Southeast Fairbanks Census Area,6.3,36.6,37.3,19.8
AK,Upper Yukon Division,,,,
AK,Valdez-Cordova Census Area,,,,
AK,Wrangell City and Borough,12.9,33.4,35.7,18
AK,Wrangell-Petersburg Census Area,,,,
AK,Yakutat City and Borough,6,43.6,39.5,10.8
AK,Yukon-Koyukuk Census Area,13,38.9,34,14.1
AZ,Arizona,11.3,23.6,33.3,31.8
AZ,Apache,16,32.5,37.8,13.8
AZ,Cochise,11.1,25.1,37.1,26.7
AZ,Coconino,8.5,21,30.8,39.6
AZ,Gila,12.9,30.6,38.5,18.1
AZ,Graham,15.4,30.4,40.3,14
AZ,Greenlee,14.1,32.4,36.9,16.7
AZ,La Paz,17.4,32.8,37.4,12.4
AZ,Maricopa,10.8,22.1,32.1,35
AZ,Mohave,12.2,34.4,38.9,14.4
AZ,Navajo,14.4,29.9,38.5,17.3
AZ,Pima,10.5,21.5,33,35
AZ,Pinal,11.5,30.7,36.3,21.4
AZ,Santa Cruz,22,25.4,29.1,23.5
AZ,Yavapai,7.9,25.4,38.1,28.7
AZ,Yuma,23.8,26.4,33.3,16.4
AR,Arkansas,14,42.5,27.7,15.8
AR,Ashley,14.1,48.4,25.9,11.6
AR,Baxter,10.4,35.2,36.3,18.2
AR,Benton,9.9,28.8,25.8,35.5
AR,Boone,9.4,34.9,39.1,16.6
AR,Bradley,14.2,47.1,26.2,12.5
AR,Calhoun,14.7,45.4,27.4,12.5
AR,Carroll,14.2,35.9,28.5,21.4
AR,Chicot,20.4,37.9,24.2,17.6
AR,Clark,10.3,31.2,32.1,26.4
AR,Clay,15.7,41.1,27.8,15.4
AR,Cleburne,12.1,39.4,31.3,17.2
AR,Cleveland,8.1,43.8,32.2,15.9
AR,Columbia,11.7,41.5,27.8,19
AR,Conway,10.8,43.2,26.9,19.1
AR,Craighead,9.8,33.1,28.9,28.2
AR,Crawford,14.5,34.4,30.7,20.3
AR,Crittenden,14.4,36.3,31.6,17.6
AR,Cross,16.5,42.7,24.7,16.1
AR,Dallas,11.6,48.4,27,13
AR,Desha,21,43.7,22.2,13.1
AR,Drew,12.6,36,26.3,25
AR,Faulkner,7,29.7,30.8,32.5
AR,Franklin,13.8,42.6,31.4,12.3
AR,Fulton,13.1,38.2,34.3,14.4
AR,Garland,9.4,31.2,34.2,25.2
AR,Grant,7.4,42.6,31.2,18.8
AR,Greene,12.1,44.4,26.9,16.6
AR,Hempstead,16.1,39.1,29,15.8
AR,Hot Spring,11.5,39.3,33.7,15.5
AR,Howard,11.6,42.9,30.5,15
AR,Independence,13.2,38.6,31.1,17.1
AR,Izard,16.8,34.5,29.8,18.9
AR,Jackson,13.7,44.6,29.8,11.9
AR,Jefferson,10.9,42.3,26.6,20.2
AR,Johnson,19.5,41,24.5,15
AR,Lafayette,18.9,48.4,22,10.6
AR,Lawrence,17.7,37.5,31.8,12.9
AR,Lee,16.5,49.3,26.5,7.7
AR,Lincoln,16.5,50.7,24.6,8.1
AR,Little River,9.4,45.5,29.2,15.9
AR,Logan,11.8,43.7,30.1,14.3
AR,Lonoke,10.1,37.1,32.8,19.9
AR,Madison,15,49.5,23.2,12.3
AR,Marion,12.3,37.2,35.3,15.2
AR,Miller,13.3,38,33.1,15.6
AR,Mississippi,17.2,39.9,28.1,14.8
AR,Monroe,19.8,41.1,24.9,14.2
AR,Montgomery,13.3,35,35.3,16.4
AR,Nevada,10.4,49.8,28.9,10.9
AR,Newton,15.1,37.1,33,14.8
AR,Ouachita,11.8,39.8,33.4,15
AR,Perry,9,44.5,31.3,15.2
AR,Phillips,18,31.2,35.5,15.2
AR,Pike,11.3,39.7,30.5,18.5
AR,Poinsett,18.2,46.9,23.4,11.5
AR,Polk,12,36.1,35.7,16.3
AR,Pope,14.7,34,27.5,23.9
AR,Prairie,14.4,42,27.6,16
AR,Pulaski,7.9,25.3,29.7,37
AR,Randolph,12.6,40.5,31.4,15.5
AR,St. Francis,15.8,41.9,29.1,13.3
AR,Saline,8.1,31,32.5,28.5
AR,Scott,16.2,41.7,30.1,12
AR,Searcy,18,39.1,27.9,14.9
AR,Sebastian,15,30.2,30.9,23.9
AR,Sevier,26.5,34.7,27.2,11.7
AR,Sharp,15.4,40.9,32.1,11.5
AR,Stone,13.9,35.5,36.2,14.4
AR,Union,12.8,38.2,30.6,18.5
AR,Van Buren,15.6,40.3,27.4,16.8
AR,Washington,13,27.7,24.9,34.5
AR,White,13.7,40.1,25.8,20.5
AR,Woodruff,15.6,48,19.9,16.5
AR,Yell,22.6,37.9,25.7,13.8
CA,California,15.6,20.4,28.1,35.9
CA,Alameda,10.8,16.2,22,50.9
CA,Alpine,6.7,20.1,33.5,39.6
CA,Amador,9.5,28.8,41.1,20.6
CA,Butte,9.7,22.3,37.1,30.8
CA,Calaveras,7.4,31.3,39.9,21.4
CA,Colusa,26.7,29.3,29.6,14.3
CA,Contra Costa,10.3,17.6,27.6,44.5
CA,Del Norte,16.8,28,37.5,17.7
CA,El Dorado,5.3,20.6,36.2,38
CA,Fresno,21.7,22.7,32.1,23.4
CA,Glenn,22.2,31.3,31.6,14.9
CA,Humboldt,8.7,23.7,36.5,31.1
CA,Imperial,28.7,25.3,30.1,15.9
CA,Inyo,6.9,28,36.2,29
CA,Kern,23.4,27.4,30.8,18.3
CA,Kings,25.5,27,32.7,14.7
CA,Lake,13.4,28.4,40,18.2
CA,Lassen,19.5,31.9,36.4,12.1
CA,Los Angeles,19.7,20.4,25.2,34.6
CA,Madera,27.9,23.1,31.8,17.2
CA,Marin,6.6,10.3,22,61.1
CA,Mariposa,8.1,21.8,41.2,28.9
CA,Mendocino,13.2,25.5,37.2,24
CA,Merced,28.6,27.8,29,14.6
CA,Modoc,11.7,29.4,35,23.8
CA,Mono,12.8,19.9,35.5,31.7
CA,Monterey,26.6,20.4,25.9,27.1
CA,Napa,15.6,17.4,29.2,37.8
CA,Nevada,4.9,19.9,36.4,38.8
CA,Orange,13.2,17.3,26.8,42.8
CA,Placer,5.1,17.4,35.1,42.4
CA,Plumas,5.9,27.5,45.5,21.2
CA,Riverside,16.9,26.8,32.3,24.1
